Real_Time,Temp_C,Cond_uScm-1,CellVoltage,StateofCharge,ErrorCode
946684805,26.01,0.00,0.62,82.70,0
946684822,25.98,0.00,0.05,81.24,0
946684843,25.38,0.00,0.05,79.61,0
946684863,28.45,1638.00,0.05,78.14,0
946684882,27.84,53280.00,0.05,76.67,0
946684902,29.36,829.70,0.05,75.20,0
946684922,31.37,835.20,0.05,73.73,0
946684943,29.24,0.00,0.05,72.25,0
946684963,27.14,0.00,0.05,70.77,0
Real_Time,Temp_C,Cond_uScm-1,CellVoltage,StateofCharge,ErrorCode
946684805,23.28,0.00,0.58,95.76,0
946684823,23.45,0.00,0.05,94.50,0
946684843,23.47,0.00,0.04,93.07,0
946684863,23.54,0.00,0.04,91.49,0
946684882,23.67,0.00,0.04,89.91,0
946684902,23.49,0.00,0.04,88.50,0
946684923,23.53,0.00,0.04,86.92,0
946684943,23.74,0.00,0.04,85.48,0
946684962,23.83,0.00,0.04,84.01,0
946684982,23.82,0.00,0.04,82.38,0
946685002,23.73,0.00,0.04,80.91,0
946685023,23.73,0.00,0.04,79.28,0
946685043,23.74,0.00,0.04,77.65,0
946685062,23.74,0.00,0.04,76.18,0
946685082,23.75,0.00,0.04,74.71,0
946685102,23.85,0.00,0.04,73.23,0
946685123,23.70,0.00,0.04,71.76,0
946685143,23.99,0.00,0.04,70.28,0
946685162,23.81,0.00,0.04,68.97,0
946685182,23.94,0.00,0.04,67.45,0
946685202,23.80,0.00,0.05,66.14,0
946685223,24.01,0.00,0.04,64.70,0
946685243,23.70,0.00,0.04,63.40,0
946685262,23.92,0.00,0.04,61.95,0
946685282,23.77,0.00,0.04,60.74,0
946685302,23.91,0.00,0.04,59.16,0
946685323,23.18,0.00,0.04,57.58,0
946685343,22.92,0.00,0.04,56.31,0
946685362,23.22,15750.00,0.04,54.73,0
946685382,23.52,15790.00,0.04,53.46,0
946685402,23.82,15800.00,0.04,51.93,0
946685422,23.68,15810.00,0.04,50.39,0
946685443,23.82,15810.00,0.04,49.24,0
946685463,23.86,15820.00,0.04,47.71,0
946685482,23.70,15820.00,0.04,46.10,0
946685502,23.75,15820.00,0.04,44.87,0
946685522,23.92,15820.00,0.04,43.23,0
946685543,23.77,15830.00,0.04,42.00,0
946685563,23.76,15830.00,0.04,40.46,0
946685582,23.80,15820.00,0.04,39.02,0
946685602,23.90,15830.00,0.04,37.58,0
946685622,23.75,15830.00,0.04,36.14,0
946685642,23.75,15830.00,0.04,35.06,0
946685663,23.80,15840.00,0.04,33.41,0
946685683,23.65,0.00,0.04,32.12,0
946685702,23.38,0.00,0.04,30.83,0
946685722,23.13,0.00,0.04,29.11,0
946685742,23.31,24800.00,0.04,27.82,0
946685763,23.63,58800.00,0.04,26.54,0
946685783,23.65,58840.00,0.04,24.82,0
946685802,23.83,58900.00,0.04,23.53,0
946685822,23.82,58940.00,0.04,22.24,0
946685842,23.67,58890.00,0.04,20.52,0
946685863,23.81,58940.00,0.04,19.05,0
946685883,23.64,58960.00,0.04,17.76,0
946685902,23.86,58980.00,0.04,16.21,0
946685922,23.73,58940.00,0.04,14.66,0
946685942,23.73,58960.00,0.04,13.36,0
946685963,23.67,59020.00,0.04,12.07,0
946685983,23.84,58930.00,0.04,10.52,0
946686002,23.75,58950.00,0.04,9.22,0
946686022,23.89,59000.00,0.04,7.84,0
946686042,23.68,59040.00,0.04,6.49,0
946686063,23.67,11130.00,0.04,5.15,0
946686083,23.51,0.00,0.04,3.87,0
