cond_uscm,datetime,Real_Time,Temp_C,Cond_uScm-1,CellVoltage,StateofCharge,ErrorCode,Elapsed_sec
0,2026-07-22 13:43:30,946685302,22.65,0,0.05,62.53,0,497
0,2026-07-22 13:43:50,946685323,23.06,0,0.05,61.06,0,518
0,2026-07-22 13:44:10,946685343,23.08,0,0.05,59.79,0,538
0,2026-07-22 13:44:30,946685363,23.1,0,0.05,58.53,0,558
0,2026-07-22 13:44:50,946685382,23.13,0,0.05,56.95,0,577
0,2026-07-22 13:45:10,946685402,23.15,0,0.05,55.36,0,597
0,2026-07-22 13:45:30,946685423,23.17,0,0.05,54.1,0,618
0,2026-07-22 13:45:50,946685443,23.18,0,0.05,52.7,0,638
0,2026-07-22 13:46:10,946685463,23.19,0,0.05,51.16,0,658
0,2026-07-22 13:46:30,946685482,23.2,0,0.05,49.62,0,677
0,2026-07-22 13:46:50,946685502,23.21,0,0.05,48.09,0,697
0,2026-07-22 13:47:10,946685523,23.21,0,0.05,46.91,0,718
0,2026-07-22 13:47:30,946685543,23.21,0,0.05,45.28,0,738
0,2026-07-22 13:47:50,946685563,23.22,0,0.05,44.05,0,758
0,2026-07-22 13:48:10,946685582,23.22,0,0.05,42.41,0,777
0,2026-07-22 13:48:30,946685602,23.22,0,0.05,41.19,0,797
0,2026-07-22 13:48:50,946685623,23.22,0,0.05,39.75,0,818
0,2026-07-22 13:49:00,946685623,23.22,0,0.05,39.75,0,818
12880,2026-07-22 13:50:25,946685723,22.88,13620,0.05,32.55,0,918
12880,2026-07-22 13:50:45,946685743,23.29,13670,0.05,30.83,0,938
12880,2026-07-22 13:51:05,946685763,23.42,13750,0.05,29.54,0,958
12880,2026-07-22 13:51:25,946685782,23.44,13760,0.05,28.25,0,977
12880,2026-07-22 13:51:45,946685802,23.45,13760,0.05,26.54,0,997
12880,2026-07-22 13:52:05,946685823,23.46,13770,0.05,25.25,0,1018
12880,2026-07-22 13:52:25,946685843,23.64,13830,0.05,23.96,0,1038
12880,2026-07-22 13:52:45,946685863,23.66,13830,0.05,22.67,0,1058
12880,2026-07-22 13:53:05,946685882,23.68,13830,0.05,20.95,0,1077
12880,2026-07-22 13:53:25,946685902,23.69,13830,0.05,19.57,0,1097
12880,2026-07-22 13:53:45,946685923,23.69,13830,0.05,18.02,0,1118
12880,2026-07-22 13:54:05,946685943,23.7,13830,0.05,16.73,0,1138
12880,2026-07-22 13:54:25,946685963,23.69,13840,0.05,15.17,0,1158
12880,2026-07-22 13:54:45,946685982,23.69,13840,0.05,13.88,0,1177
12880,2026-07-22 13:55:05,946686002,23.68,13840,0.05,12.33,0,1197
12880,2026-07-22 13:55:25,946686023,23.67,13840,0.05,11.03,0,1218
12880,2026-07-22 13:55:45,946686043,23.67,13850,0.05,9.48,0,1238
12880,2026-07-22 13:56:05,946686063,23.66,13840,0.05,8.21,0,1258
12880,2026-07-22 13:56:25,946686082,23.65,13850,0.05,6.73,0,1277
12880,2026-07-22 13:56:45,946686102,23.65,13850,0.05,5.4,0,1297
12880,2026-07-22 13:57:05,946686122,23.64,13850,0.05,4.21,0,1317
12880,2026-07-22 13:57:25,946686143,23.63,13850,0.05,2.94,0,1338
12880,2026-07-22 13:57:45,946686163,23.63,13840,0.05,1.98,0,1358
12880,2026-07-22 13:58:00,946686163,23.63,13840,0.05,1.98,0,1358
80000,2026-07-22 13:59:28,946686263,23.08,78120,0.05,0.0,0,1458
80000,2026-07-22 13:59:48,946686282,23.07,78260,0.05,0.0,0,1477
80000,2026-07-22 14:00:08,946686302,23.06,78370,0.05,0.0,0,1497
80000,2026-07-22 14:00:28,946686322,23.05,78470,0.05,0.0,0,1517
80000,2026-07-22 14:00:48,946686343,23.04,78510,0.05,0.0,0,1538
80000,2026-07-22 14:01:08,946686363,23.03,78530,0.05,0.0,0,1558
80000,2026-07-22 14:01:28,946686382,23.03,78560,0.05,0.0,0,1577
80000,2026-07-22 14:01:48,946686402,23.03,78570,0.05,0.0,0,1597
80000,2026-07-22 14:02:08,946686422,23.02,78590,0.05,0.0,0,1617
80000,2026-07-22 14:02:28,946686442,23.02,78590,0.05,0.0,0,1637
80000,2026-07-22 14:02:48,946686463,23.02,78650,0.05,0.0,0,1658
80000,2026-07-22 14:03:08,946686483,23.02,78680,0.05,0.0,0,1678
80000,2026-07-22 14:03:28,946686502,23.01,78660,0.05,0.0,0,1697
80000,2026-07-22 14:03:48,946686522,23.01,78680,0.05,0.0,0,1717
80000,2026-07-22 14:04:08,946686542,23.01,78690,0.05,0.0,0,1737
80000,2026-07-22 14:04:28,946686563,23.01,78690,0.05,0.0,0,1758
80000,2026-07-22 14:04:48,946686583,23.0,78690,0.05,0.0,0,1778
80000,2026-07-22 14:05:00,946686583,23.0,78690,0.05,0.0,0,1778
